Name,Birth Place,Peak Rating,Number of Participations,Status
"Botvinnik, M.","Repino, Russia",2660,8,2
"Smyslov, V.","Moscow, Russia",2620,8,2
"Reshevsky, S.","Ozorkow, Poland",2565,3,0
"Keres, P.","Narva, Estonia",2615,6,0
"Euwe, M.","Amsterdam, Netherlands",2530,2,0
"Bronstein, D.","Bila Tserkva, Ukraine",2595,3,0
"Boleslavsky, I.","Minsk, Belarus",2560,2,0
"Najdorf, M.","Grodzisk Mazowiecki, Poland",2540,2,0
"Kotov, A.","Tula, Russia",2510,2,0
"Stahlberg, G.","Gothenburg, Sweden",2590,2,0
"Lilienthal, A.","Moscow, Russia",2450,1,0
"Szabo, L.","Budapest, Hungary",2565,3,0
"Flohr, S.","Horodenka, Ukraine",2460,1,0
"Petrosian, T.","Tbilisi, Georgia",2645,10,2
"Geller, E.","Odessa, Ukraine",2630,6,0
"Taimanov, M.","Kharkiv, Ukraine",2600,2,0
"Averbakh, Y.","Kaluga, Russia",2550,1,0
"Gligoric, S.","Belgrade, Serbia",2600,3,0
"Spassky, B.","Saint Petersburg, Russia",2690,8,2
"Filip, M.","Prague, Czech Republic",2510,2,0
"Panno, O.","Buenos Aires, Argentina",2580,1,0
"Pilnik, H.","Stuttgart, Germany",2450,1,0
"Tal, M.","Riga, Latvia",2705,6,2
"Fischer, R.","Chicago, Illinois, US",2785,3,2
"Olafsson, F.","Reykjavik, Iceland",2600,1,0
"Benko, P.","Budapest, Hungary",2530,2,0
"Korchnoi, V.","Saint Petersburg, Russia",2695,8,1
"Larsen, B.","Thisted, Denmark",2660,4,0
"Ivkov, B.","Belgrade, Serbia",2560,1,0
"Portisch, L.","Zalaegerszeg, Hungary",2655,8,0
"Uhlmann, W.","Dresden, Germany",2575,1,0
"Huebner, R.","Cologne, Germany",2640,3,1
"Karpov, A.","Zlatoust, Russia",2780,8,2
"Mecking, H.","Santa Cruz do Sul, Brazil",2635,2,0
"Polugaevsky, L.","Mogilev, Belarus",2645,3,0
"Byrne, R.","Brooklyn, New York, US",2560,1,0
"Hort, V.","Kladno, Czech Republic",2620,1,0
"Adorjan, A.","Budapest, Hungary",2570,1,0
"Kasparov, G.","Baku, Azerbaijan",2851,5,2
"Ribli, Z.","Mohacs, Hungary",2625,1,0
"Torre, E.",Philippines,2580,1,0
"Beliavsky, A.","Lviv, Ukraine",2710,2,0
"Sokolov, A.","Vorkuta, Russia",2645,2,0
"Yusupov, A.","Moscow, Russia",2680,2,0
"Vaganian, R.","Yerevan, Armenia",2670,1,0
"Timman, J.","Amsterdam, Netherlands",2680,2,1
"Chernin, A.","Kharkiv, Ukraine",2620,1,0
"Short, N.","Leigh, England",2712,2,1
"Seirawan, Y.","Damascus, Syria",2658,2,0
"Nogueiras, J.","Santa Clara, Cuba",2580,1,0
"Spraggett, K.","Montreal, Quebec, Canada",2633,2,0
"Speelman, J.","London, United Kingdom",2645,1,0
"Hjartarson, J.","Reykjavic, Iceland",2640,1,0
"Sax, G.","Budapest, Hungary",2610,1,0
"Ehlvest, J.","Tallinn, Estonia",2660,1,0
"Salov, V.","Wroclaw, Poland",2715,1,0
